	cell_type
Cy72_CD45_H02_S758_comb	B-cells
CY58_1_CD45_B02_S974_comb	T-cells
Cy72_CD45_D09_S717_comb	T-cells
Cy74_CD45_A03_S387_comb	T-cells
Cy74_CD45_F09_S453_comb	T-cells
CY58_1_CD45_D03_S999_comb	T-cells
Cy72_CD45_C01_S697_comb	T-cells
Cy71_CD45_D07_S523_comb	T-cells
Cy74_CD45_D04_S424_comb	T-cells
Cy74_CD45_C11_S419_comb	T-cells
Cy81_FNA_CD45_D07_S235_comb	T-cells
Cy72_CD45_D07_S715_comb	T-cells
Cy72_CD45_E08_S728_comb	T-cells
Cy71_CD45_B07_S499_comb	T-cells
Cy71_CD45_E03_S531_comb	T-cells
Cy74_CD45_H03_S471_comb	T-cells
Cy72_CD45_D03_S711_comb	B-cells
CY58_1_CD45_A06_S966_comb	T-cells
Cy81_FNA_CD45_A09_S201_comb	T-cells
Cy81_FNA_CD45_B12_S216_comb	T-cells
Cy71_CD45_B08_S500_comb	T-cells
CY58_1_CD45_D11_S1007_comb	T-cells
Cy72_CD45_F12_S744_comb	T-cells
Cy80_II_CD45_G05_S941_comb	CAF
Cy72_CD45_C07_S703_comb	T-cells
Cy74_CD45_F07_S451_comb	T-cells
Cy81_FNA_CD45_B04_S208_comb	T-cells
Cy74_CD45_C02_S410_comb	T-cells
Cy81_FNA_CD45_G01_S265_comb	T-cells
Cy81_FNA_CD45_D02_S230_comb	T-cells
CY58_1_CD45_A10_S970_comb	T-cells
Cy72_CD45_D12_S720_comb	T-cells
CY58_1_CD45_F11_S1031_comb	T-cells
Cy81_FNA_CD45_F01_S253_comb	T-cells
Cy74_CD45_A08_S392_comb	T-cells
Cy71_CD45_G06_S558_comb	T-cells
Cy74_CD45_A04_S388_comb	T-cells
CY58_1_CD45_B01_S973_comb	T-cells
CY58_1_CD45_H12_S1056_comb	T-cells
CY58_1_CD45_F05_S1025_comb	T-cells
CY58_1_CD45_H02_S1046_comb	T-cells
Cy72_CD45_A07_S679_comb	B-cells
