id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	B-cells|B-cells	B-cells|CAF	B-cells|Endothelial cells	B-cells|Macrophages	B-cells|NK	B-cells|T-cells	CAF|B-cells	CAF|CAF	CAF|Endothelial cells	CAF|Macrophages	CAF|NK	CAF|T-cells	Endothelial cells|B-cells	Endothelial cells|CAF	Endothelial cells|Endothelial cells	Endothelial cells|Macrophages	Endothelial cells|NK	Endothelial cells|T-cells	Macrophages|B-cells	Macrophages|CAF	Macrophages|Endothelial cells	Macrophages|Macrophages	Macrophages|NK	Macrophages|T-cells	NK|B-cells	NK|CAF	NK|Endothelial cells	NK|Macrophages	NK|NK	NK|T-cells	T-cells|B-cells	T-cells|CAF	T-cells|Endothelial cells	T-cells|Macrophages	T-cells|NK	T-cells|T-cells
CPI-SS0A7B487D4	KLRG2_WNT11	simple:A4D1S0	simple:O96014	KLRG2	WNT11	True	True	False	InnateDB-All	False	0.03791	6.00043	0.0	0.09568	0.0	0.02034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0FEC87269	KLRG2_TNFSF9	simple:A4D1S0	simple:P41273	KLRG2	TNFSF9	True	True	False	InnateDB-All	False	3.15824	1.05733	0.47144	0.96528	4.3846	7.20462	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS028784FC6	HLA-DPA1_TNFSF9	simple:HLADPA1	simple:P41273	HLA-DPA1	TNFSF9	True	True	False	InnateDB-All	False	1615.63833	1613.53742	1612.95153	1613.44537	1616.86469	1619.68471	53.41392	51.31301	50.72712	51.22095	54.64027	57.46029	154.32525	152.22434	151.63845	152.13229	155.55161	158.37163	3300.72165	3298.62074	3298.03485	3298.52869	3301.94801	3304.76803	118.85661	116.7557	116.16982	116.66365	120.08297	122.90299	243.32648	241.22557	240.63969	241.13352	244.55284	247.37286
CPI-SS00A8596B5	PVR_TNFSF9	simple:P15151	simple:P41273	PVR	TNFSF9	True	True	False	InnateDB-All	False	4.54879	2.44788	1.862	2.35583	5.77515	8.59517	22.74018	20.63927	20.05338	20.54722	23.96654	26.78656	34.25935	32.15844	31.57255	32.06639	35.48571	38.30573	6.49995	4.39904	3.81315	4.30698	7.7263	10.54632	11.44801	9.34709	8.76121	9.25504	12.67436	15.49438	4.98124	2.88033	2.29445	2.78828	6.2076	9.02762
CPI-SS044DF8749	KLRG2_WNT5B	simple:A4D1S0	simple:Q9H1J7	KLRG2	WNT5B	True	True	False	InnateDB-All	False	0.31546	0.62644	0.0	0.26232	0.0	0.08069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS072B19293	HLA-DPA1_GAL	simple:HLADPA1	simple:P22466	HLA-DPA1	GAL	True	True	False	InnateDB-All	False	1613.66076	0.0	0.0	1620.36371	0.0	1612.67765	51.43634	0.0	0.0	58.1393	0.0	50.45324	152.34768	0.0	0.0	159.05063	0.0	151.36457	3298.74408	0.0	0.0	3305.44704	0.0	3297.76098	116.87904	0.0	0.0	123.582	0.0	115.89594	241.34891	0.0	0.0	248.05187	0.0	240.36581
CPI-SS0F8ABC300	GALR2_GAL	simple:O43603	simple:P22466	GALR2	GAL	True	True	False	guidetopharmacology.org	False	1.23297	0.0	0.0	7.93593	0.0	0.24987	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.47681	0.0	0.0	8.17977	0.0	0.49371	0.0	0.0	0.0	0.0	0.0	0.0	2.14916	0.0	0.0	8.85212	0.0	1.16606
CPI-SS0B84DAE3D	PVR_CD96	simple:P15151	simple:P40200	PVR	CD96	True	True	True	curated	False	11.28028	3.38896	2.42544	2.1704	134.71305	110.19405	29.47166	21.58034	20.61682	20.36179	152.90444	128.38544	40.99084	33.09952	32.13599	31.88096	164.42361	139.90461	13.23143	5.34011	4.37659	4.12156	136.6642	112.1452	18.17949	10.28817	9.32465	9.06961	141.61226	117.09326	11.71273	3.82141	2.85789	2.60285	135.1455	110.6265
CPI-SS0A8627ED6	PVR_CD226	simple:P15151	simple:Q15762	PVR	CD226	True	True	True	curated	False	1.63928	1.69969	0.0	5.07932	14.73952	16.31474	19.83067	19.89108	0.0	23.27071	32.9309	34.50612	31.34984	31.41025	0.0	34.78988	44.45007	46.0253	3.59043	3.65084	0.0	7.03047	16.69067	18.26589	8.53849	8.5989	0.0	11.97853	21.63873	23.21395	2.07173	2.13214	0.0	5.51177	15.17197	16.74719
CPI-SS00561BBD7	PVR_TIGIT	simple:P15151	simple:Q495A1	PVR	TIGIT	True	True	False	curated	False	2.02336	1.51199	0.0	2.52523	60.21453	199.90972	20.21474	19.70338	0.0	20.71662	78.40591	218.1011	31.73392	31.22255	0.0	32.23579	89.92509	229.62027	3.97451	3.46314	0.0	4.47639	62.16568	201.86087	8.92257	8.4112	0.0	9.42445	67.11374	206.80893	2.45581	1.94444	0.0	2.95769	60.64698	200.34217
