gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B-cells	CAF	Endothelial cells	Macrophages	NK	T-cells
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS0A7B487D4	0.01303	0.0	0.0	0.0	0.0	0.0
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS0FEC87269	0.01303	0.0	0.0	0.0	0.0	0.0
HLA-DPA1	HLADPA1	False	HLADPA1		CPI-SS028784FC6	3224.97321	100.52438	302.34705	6595.13985	231.40978	480.34952
PVR	P15151	False	PVR_HUMAN		CPI-SS00A8596B5	2.79414	39.17691	62.21525	6.69644	16.59256	3.65904
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS044DF8749	0.01303	0.0	0.0	0.0	0.0	0.0
HLA-DPA1	HLADPA1	False	HLADPA1		CPI-SS072B19293	3224.97321	100.52438	302.34705	6595.13985	231.40978	480.34952
GALR2	O43603	False	GALR2_HUMAN		CPI-SS0F8ABC300	0.11763	0.0	0.0	0.60532	0.0	1.95002
PVR	P15151	False	PVR_HUMAN		CPI-SS0B84DAE3D	2.79414	39.17691	62.21525	6.69644	16.59256	3.65904
PVR	P15151	False	PVR_HUMAN		CPI-SS0A8627ED6	2.79414	39.17691	62.21525	6.69644	16.59256	3.65904
PVR	P15151	False	PVR_HUMAN		CPI-SS00561BBD7	2.79414	39.17691	62.21525	6.69644	16.59256	3.65904
GALR2	O43603	False	GALR2_HUMAN		CPI-SS0D03910A0	0.11763	0.0	0.0	0.60532	0.0	1.95002
GALR1	P47211	False	GALR1_HUMAN		CPI-SS0B0E74BC0	0.38877	0.0	0.0	0.0	0.0	0.08964
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS09C06644C	0.01561	25.87251	3.38633	0.16523	0.0	0.26546
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0889E281D	1.2353	2.77406	10.0468	26.37926	9.07831	44.68034
CRTAM	O95727	False	CRTAM_HUMAN		CPI-SS0C9696AAA	7.64419	2.93108	5.16246	11.23418	57.89463	112.17866
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS02D18D12B	0.01561	25.87251	3.38633	0.16523	0.0	0.26546
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS0B3829651	0.01561	25.87251	3.38633	0.16523	0.0	0.26546
CDH1	P12830	False	CADH1_HUMAN		CPI-SS0CC5DCE80	4.19427	13.58759	3.14045	1.75405	2.9861	4.39898
