id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	rank	B-cells|B-cells	B-cells|CAF	B-cells|Endothelial cells	B-cells|Macrophages	B-cells|NK	B-cells|T-cells	CAF|B-cells	CAF|CAF	CAF|Endothelial cells	CAF|Macrophages	CAF|NK	CAF|T-cells	Endothelial cells|B-cells	Endothelial cells|CAF	Endothelial cells|Endothelial cells	Endothelial cells|Macrophages	Endothelial cells|NK	Endothelial cells|T-cells	Macrophages|B-cells	Macrophages|CAF	Macrophages|Endothelial cells	Macrophages|Macrophages	Macrophages|NK	Macrophages|T-cells	NK|B-cells	NK|CAF	NK|Endothelial cells	NK|Macrophages	NK|NK	NK|T-cells	T-cells|B-cells	T-cells|CAF	T-cells|Endothelial cells	T-cells|Macrophages	T-cells|NK	T-cells|T-cells
CPI-SS04587A7C5	CCL16_HRH4	simple:O15467	simple:Q9H3N8	CCL16	HRH4	True	False	True	guidetopharmacology.org	False	0.028																		14.55283																		
CPI-SS047232C64	DLL1_NOTCH3	simple:O00548	simple:Q9UM47	DLL1	NOTCH3	False	False	True	curated	False	0.028														25.61951																						
CPI-SS0D26F639E	KIR2DL3_CXCL9	simple:P43628	simple:Q07325	KIR2DL3	CXCL9	True	True	False	IMEx,IntAct	False	0.028																												124.02956								
CPI-SS0C4D54E39	NOTCH3_JAG2	simple:Q9UM47	simple:Q9Y219	NOTCH3	JAG2	False	True	False	curated	False	0.028									27.00146																											
CPI-CS0A66DB1CA	CD8 receptor_LCK	complex:CD8 receptor	simple:P06239		LCK	False	True	False	curated	False	0.028																																				618.13665
CPI-SC0674C647E	COL4A3_a11b1 complex	simple:Q01955	complex:a11b1 complex	COL4A3		True	False	False	curated	True	0.028		39.54948																																		
CPI-SC03D71E025	COL7A1_a11b1 complex	simple:Q02388	complex:a11b1 complex	COL7A1		True	False	False	curated	True	0.028								33.14477																												
CPI-SC060984F83	COL14A1_a11b1 complex	simple:Q05707	complex:a11b1 complex	COL14A1		True	False	False	curated	True	0.028								82.37232																												
CPI-SC0014D5A6E	COL16A1_a11b1 complex	simple:Q07092	complex:a11b1 complex	COL16A1		True	False	False	curated	True	0.028								79.56376																												
CPI-SC0035F0B0F	COL19A1_a11b1 complex	simple:Q14993	complex:a11b1 complex	COL19A1		True	False	False	curated	True	0.028		43.15305																																		
CPI-CS0569B9B91	BMPR1B_BMPR2_BMPR1A	complex:BMPR1B_BMPR2	simple:P36894		BMPR1A	False	True	True	curated	False	0.028								8.62896																												
